ID,Is_Lead
VBENBARO,0.0
CCMEWNKY,0.9
VK3KGA9M,0.01
TT8RPZVC,0.02
SHQZEYTZ,0.0
MZZAQMPT,0.02
Y88TW36I,0.04
3UGOAQNU,0.45
VVUKMUJT,0.96
9R363ZXS,0.2
BLISM6JE,0.01
CH8S7JK7,0.36
EAHDPXEJ,0.77
BNUK9PRF,0.17
GP2PG6FJ,0.11
WNQCSN8A,0.03
32DN4YVZ,0.31
GXAMDANM,0.01
MXETLUP4,0.05
MPXK6TVE,0.85
LBSIME2K,0.46
D6ORJTM6,0.0
HGDIBAKA,0.84
UUZYL9DZ,0.55
AUGE3VWK,0.03
MX7GOX6Q,0.11
TQN6K35W,0.04
QQDRMQQN,0.52
UP6GC6F4,0.15
BMHBUVHB,0.66
KGLDW86A,0.23
FQEOMOP4,0.0
DYWM5MEU,0.19
DXHGXV8F,0.1
AVFBFQKC,0.31
DBIDKYMV,0.32
KYZHMEBY,0.07
SSFEBUGF,0.04
MGJTAG8X,0.45
MP6BERDO,0.27
GXZ8ED68,0.0
ICTFGWQR,0.47
EAYHTRKH,0.01
6FN97QLQ,0.02
3H5MZDDW,0.38
2DXZZWSN,0.06
MM4QIRE5,0.09
HJWVYXUA,0.05
RBRSJUP3,0.88
YFRQKGXW,0.45
N3SADEBV,0.09
G2A2YYXY,0.01
XMGA3WT3,0.02
KVZQPSGI,0.16
UAKARBBG,0.05
WYKKL85Z,0.31
GHNYYGRR,0.03
UBAJANWT,0.02
LSARSF7U,0.0
4CNSJVVR,0.33
JRHJSWYO,0.29
FHZ8SVVI,0.02
JUIRE47M,0.76
GDIVN2GL,0.07
WMF3DYE3,0.92
MAQEHEWK,0.06
2W8DLKFU,0.02
AKGRML6H,0.07
B7WUUGCY,0.01
TLJOYATM,0.65
UH6ZDM3W,0.75
7IP5SSRR,0.91
PV85PMEB,0.51
FGDOY4NI,0.08
7YYIXJQE,0.09
BHW42XPW,0.01
3PKEEAT4,0.29
ACFPZ3LM,0.05
6GORGNYN,0.85
AEPQTMJK,0.47
S6FNZFKK,0.0
JTYNEKRQ,0.76
GPXDPHHC,0.05
O8TMKNNB,0.04
XSQVHKYG,0.03
MJ3CZRAE,0.01
3NSQEYBJ,0.24
SXVBASGH,0.07
5ZIGZYSS,0.07
FQSHBCUT,0.39
MU45XUBP,0.01
BVULDPBI,0.03
82GRNPFG,0.83
KKBNELBF,0.0
HXQGBDGY,0.04
28HDZICG,0.58
GHBPKPJC,0.01
FDWZFSSC,0.71
FWTIWZF3,0.0
JYMHVPMY,0.0
AHUDO2T6,0.92
ACDHABS3,0.08
5NTYJJDV,0.05
2M4VPY4V,0.03
KAHP9XLF,0.03
YRLEWZFQ,0.11
JZWVLXHJ,0.15
JZZSXUKT,0.23
93RURE2J,0.81
4RNB6FDV,0.21
27E7HMMG,0.01
2QEFQQWN,0.06
DDTCD2XI,0.09
VGVEYSEG,0.98
WCXVE7RK,0.04
RTN4R3UE,0.11
K2PVS4RB,0.03
Q36J686Z,0.17
NWKHMEOF,0.05
PVJYQQGT,0.52
GPUMRNWC,0.13
LXHCDSVH,0.27
BNIUPSVK,0.19
FW3QI3WW,0.12
IEEUGXMY,0.86
FVVXDLBO,0.31
UC2JJB6Y,0.09
3WPAHP52,0.56
HDTCJJOE,0.18
UCSB9GKK,0.0
HANBFYTH,0.15
FLUU2HNV,0.0
64PIYWDJ,0.5
9AHNH8ZX,0.9
KLHUI2SE,0.04
YRHYUJFW,0.85
G5RWWH7F,0.23
SCBT9BAX,0.0
UGZGLVNB,0.07
2RRNUFBV,0.92
B6O59TEY,0.15
CYHRRYH6,0.04
GGYZVHWU,0.06
K6AM97RN,0.06
ATM5JQYM,0.08
7GYZSGWA,0.01
DFWUDQCR,0.16
E2Z98CR3,0.83
GD9KTSLY,0.0
2AMRA4OD,0.1
CFHZ3ZE6,0.48
BOMLVM5K,0.05
OBBEGBSY,0.43
FJEHOK8W,0.0
3GMAEVPJ,0.35
WAVDLUTH,0.16
6EN8GZX6,0.02
VXGA3GKB,0.12
U4MZ3U8C,0.25
GU4RDP8S,0.92
N3TPNHCD,0.06
JRRHWQC8,0.5
NZ5GBHZK,0.0
LCUC2LAJ,0.91
DJDSU9D2,0.93
647K6DBR,0.01
7NFXVESK,0.03
EWUWF25N,0.0
7QKYPLA8,0.06
XQVXWBNO,0.01
CNWH4MVA,0.09
AFJUJFQD,0.19
QKMFDX9H,0.09
YYMB5QBY,0.1
IRY3SEX7,0.22
CUAUZJH8,0.1
JYFUYQF5,0.44
I4NYEDFE,0.63
M3RSPRGQ,0.27
JIL3KWQN,0.08
X4B5ZBWU,0.15
AHYTHHSE,0.02
E7EHQEQK,0.37
FAMHAVN3,0.88
CCGKCTR6,0.04
6DTSELRV,0.04
LU8X3G6O,0.2
NPFDAUJY,0.04
DR9PXCFU,0.02
SHVZMWBV,0.64
8TGXGZHX,0.18
IKRSHJFW,0.16
TYKRZDCP,0.62
9IDA3L7P,0.17
ASOWCMDB,0.12
KZ5J2JGC,0.7
D5UCFKTV,0.0
2N8FFP7W,0.0
SA36MTFS,0.02
8UDMURUH,0.09
7VSQV6QN,0.27
IFUG9NC5,0.0
