ID,Is_Lead
VBENBARO,0.184348475
CCMEWNKY,0.810305367
VK3KGA9M,0.041641564
TT8RPZVC,0
SHQZEYTZ,0
MZZAQMPT,0.151514457
Y88TW36I,0.119343889
3UGOAQNU,0.057315856
VVUKMUJT,0.962640961
9R363ZXS,0.294033572
BLISM6JE,0.064013193
CH8S7JK7,0.316932995
EAHDPXEJ,0.823181257
BNUK9PRF,0.267908064
GP2PG6FJ,0.063680756
WNQCSN8A,0
32DN4YVZ,0.378510516
GXAMDANM,0.050474688
MXETLUP4,0.207070721
MPXK6TVE,0.880752022
LBSIME2K,0.193506918
D6ORJTM6,0.042228093
HGDIBAKA,0.868835641
UUZYL9DZ,0.382431326
AUGE3VWK,0.03894106
MX7GOX6Q,0.10883745
TQN6K35W,0.095391035
QQDRMQQN,0.400233505
UP6GC6F4,0.030993135
BMHBUVHB,0.381722135
KGLDW86A,0.201928402
FQEOMOP4,0.267255266
DYWM5MEU,0.299476134
DXHGXV8F,0.063023253
AVFBFQKC,0.3023609
DBIDKYMV,0.18286145
KYZHMEBY,0.272481657
SSFEBUGF,0.058501055
MGJTAG8X,0.396547921
MP6BERDO,0.268894137
GXZ8ED68,0.057604475
ICTFGWQR,0.50798103
EAYHTRKH,0
6FN97QLQ,0.264321066
3H5MZDDW,0.436980981
2DXZZWSN,0
MM4QIRE5,0.035071473
HJWVYXUA,0.172474872
RBRSJUP3,0.91390996
YFRQKGXW,0.423466385
N3SADEBV,0.061250075
G2A2YYXY,0
XMGA3WT3,0.042179111
KVZQPSGI,0.090151882
UAKARBBG,0
WYKKL85Z,0.262526647
GHNYYGRR,0.270890262
UBAJANWT,0.037908369
LSARSF7U,0
4CNSJVVR,0.291575105
JRHJSWYO,0.367424981
FHZ8SVVI,0.142582443
JUIRE47M,0.756492548
GDIVN2GL,0.136486111
WMF3DYE3,0.864234237
MAQEHEWK,0.318002038
2W8DLKFU,0.076394977
AKGRML6H,0.274830897
B7WUUGCY,0
TLJOYATM,0.35354847
UH6ZDM3W,0.759116495
7IP5SSRR,0.530480824
PV85PMEB,0.370475122
FGDOY4NI,0.264903028
7YYIXJQE,0.09286639
BHW42XPW,0.205533721
3PKEEAT4,0.269419331
ACFPZ3LM,0.064476629
6GORGNYN,0.821315288
AEPQTMJK,0.313225323
S6FNZFKK,0.061250146
JTYNEKRQ,0.490963554
GPXDPHHC,0.140198705
O8TMKNNB,0.227518757
XSQVHKYG,0.03383701
MJ3CZRAE,0
3NSQEYBJ,0.386160423
SXVBASGH,0.051898349
5ZIGZYSS,0.111342781
FQSHBCUT,0.368034866
MU45XUBP,0.115834946
BVULDPBI,0.11135235
82GRNPFG,0.836742367
KKBNELBF,0
