ID,Is_Lead
VBENBARO,0.072370657
CCMEWNKY,0.893432962
VK3KGA9M,0.025689005
TT8RPZVC,0.013040496
SHQZEYTZ,0.006719988
MZZAQMPT,0.081148986
Y88TW36I,0.062127838
3UGOAQNU,0.037727983
VVUKMUJT,0.981688005
9R363ZXS,0.158735735
BLISM6JE,0.042317662
CH8S7JK7,0.183734256
EAHDPXEJ,0.552308748
BNUK9PRF,0.191479096
GP2PG6FJ,0.038775945
WNQCSN8A,0.011104927
32DN4YVZ,0.272867498
GXAMDANM,0.033656625
MXETLUP4,0.090980256
MPXK6TVE,0.564650875
LBSIME2K,0.446212291
D6ORJTM6,0.031862144
HGDIBAKA,0.564660827
UUZYL9DZ,0.634374973
AUGE3VWK,0.030210834
MX7GOX6Q,0.068693988
TQN6K35W,0.056581403
QQDRMQQN,0.287286475
UP6GC6F4,0.038887044
BMHBUVHB,0.667609814
KGLDW86A,0.126177012
FQEOMOP4,0.450879535
DYWM5MEU,0.156214137
DXHGXV8F,0.040198709
AVFBFQKC,0.172178562
DBIDKYMV,0.106043664
KYZHMEBY,0.153273823
SSFEBUGF,0.036133423
MGJTAG8X,0.61639252
MP6BERDO,0.142491574
GXZ8ED68,0.036295531
ICTFGWQR,0.679427843
EAYHTRKH,0.007276854
6FN97QLQ,0.116286556
3H5MZDDW,0.282523071
2DXZZWSN,0.013495778
MM4QIRE5,0.04529365
HJWVYXUA,0.088596751
RBRSJUP3,0.910107628
YFRQKGXW,0.629507202
N3SADEBV,0.036312224
G2A2YYXY,0.011416908
XMGA3WT3,0.027382149
KVZQPSGI,0.067041033
UAKARBBG,0.011149085
WYKKL85Z,0.155444225
GHNYYGRR,0.122409327
UBAJANWT,0.03568635
LSARSF7U,0.007360583
4CNSJVVR,0.516986625
JRHJSWYO,0.229946633
FHZ8SVVI,0.065070374
JUIRE47M,0.843458241
GDIVN2GL,0.069539935
WMF3DYE3,0.89190228
MAQEHEWK,0.153404546
2W8DLKFU,0.041613375
AKGRML6H,0.462233464
B7WUUGCY,0.015939125
TLJOYATM,0.26855787
UH6ZDM3W,0.870633855
7IP5SSRR,0.806329756
PV85PMEB,0.615011193
FGDOY4NI,0.475515448
7YYIXJQE,0.049201604
BHW42XPW,0.080103907
3PKEEAT4,0.18839114
ACFPZ3LM,0.040216992
6GORGNYN,0.546687545
AEPQTMJK,0.530360813
S6FNZFKK,0.036557669
JTYNEKRQ,0.414213358
GPXDPHHC,0.403677284
O8TMKNNB,0.089277111
XSQVHKYG,0.034260589
MJ3CZRAE,0.007091475
3NSQEYBJ,0.250967974
SXVBASGH,0.032445933
5ZIGZYSS,0.400000604
FQSHBCUT,0.586723002
MU45XUBP,0.051404562
BVULDPBI,0.052870871
82GRNPFG,0.89300517
KKBNELBF,0.011019219
HXQGBDGY,0.042925042
28HDZICG,0.640139677
GHBPKPJC,0.024394731
FDWZFSSC,0.850924147
FWTIWZF3,0.033392394
JYMHVPMY,0.039273636
AHUDO2T6,0.890599833
ACDHABS3,0.162257709
5NTYJJDV,0.086238701
2M4VPY4V,0.080693018
KAHP9XLF,0.048801264
YRLEWZFQ,0.110046099
JZWVLXHJ,0.12254776
JZZSXUKT,0.548040985
93RURE2J,0.519537044
4RNB6FDV,0.467382095
27E7HMMG,0.110079526
2QEFQQWN,0.38747974
DDTCD2XI,0.044391326
VGVEYSEG,0.904129809
WCXVE7RK,0.04231285
RTN4R3UE,0.015263727
K2PVS4RB,0.040815216
Q36J686Z,0.419856753
NWKHMEOF,0.10563583
PVJYQQGT,0.554432494
GPUMRNWC,0.034298822
LXHCDSVH,0.117991822
BNIUPSVK,0.102893308
FW3QI3WW,0.071488047
IEEUGXMY,0.868281388
FVVXDLBO,0.037332639
UC2JJB6Y,0.060446249
3WPAHP52,0.650635215
HDTCJJOE,0.295024017
UCSB9GKK,0.050224425
HANBFYTH,0.456951946
FLUU2HNV,0.369022236
64PIYWDJ,0.498581517
9AHNH8ZX,0.870341575
KLHUI2SE,0.096302909
YRHYUJFW,0.55127912
G5RWWH7F,0.161840027
SCBT9BAX,0.006931377
UGZGLVNB,0.161969086
2RRNUFBV,0.904304138
B6O59TEY,0.255458644
CYHRRYH6,0.054266293
GGYZVHWU,0.046772227
K6AM97RN,0.053688454
ATM5JQYM,0.047476141
7GYZSGWA,0.026601589
DFWUDQCR,0.155014992
E2Z98CR3,0.891217483
GD9KTSLY,0.032082196
2AMRA4OD,0.128431959
CFHZ3ZE6,0.638686066
BOMLVM5K,0.034726437
OBBEGBSY,0.568443533
FJEHOK8W,0.012821972
3GMAEVPJ,0.124211175
WAVDLUTH,0.365108708
6EN8GZX6,0.078044161
VXGA3GKB,0.450522231
U4MZ3U8C,0.243195524
GU4RDP8S,0.881865551
